code,description,concept_id,vocabulary_id,domain_id,standard_concept
QCJA003,1 hand initial burn surgical dressing,,,,Non-standard
QCJA004,1 Hand Secondary Burn Surgical Dressing,,,,Non-standard
AMQP014,"12-24 hour polysomnography, no video recording",,,,Non-standard
AMQP015,"12-24 hour polysomnography, with video recording",,,,Non-standard
LJMA003,2 to 5 rib thoracoplasty,,,,Non-standard
KZQL003,2-step somatostatin analog scintigraphy,,,,Non-standard
KZQL004,2-step somatostatin analog scintigraphy with whole body scintigraphy complementary to a segmental image,,,,Non-standard
ABQP001,24 hour continuous monitoring of intracranial pressure,,,,Non-standard
EAQM001,24-hour continuous monitoring of intracranial arterial circulation by transcranial doppler,,,,Non-standard
HEQD002,24-hour esophageal and / or gastric pH measurement,,,,Non-standard
HEQD001,"24-hour esophageal manometry, with pH measurement",,,,Non-standard
AMQP013,"8 to 12 hour polysomnography, with video recording",,,,Non-standard
AMQP012,"8 to 12 hour polysomnography, without video recording",,,,Non-standard
AAQP007,8-lead electroencephalography or more with recording of a minimum duration of 20 minutes without digitization and without video recording,,,,Non-standard
AAQP129,"8-lead or more electroencephalography with recording lasting at least 30 minutes, with digitization and video recording, in a patient under 6 years of age",,,,Non-standard
04.03.11.04,Abdominal aorta and common iliac artery bypass surgery,,,,Non-standard
04.03.11.09,Abdominal aortic fistula closure,,,,Non-standard
04.03.11.07,Abdominal aortic prosthesis removal,,,,Non-standard
DGGA002,"Abdominal aortic prosthesis removal with axillobifemoral bypass, by direct approach",,,,Non-standard
DGGA003,"Abdominal aortic prosthesis with aortobisilic or aortobifemoral bypass, by laparotomy",,,,Non-standard
04.01.03.05,Abdominal aortic ultrasound,,,,Non-standard
QBFA005,Abdominal dermolipectomy with transposition of the umbilicus,,,,Non-standard
QBFA001,Abdominal dermolipectomy with transposition of the umbilicus and closure of diastasis of the rectus abdominis muscles,,,,Non-standard
QBFA008,Abdominal dermolipectomy with transposition of the umbilicus and liposuction of the abdomen,,,,Non-standard
