"Code CCAM de l’acte, Code de la consultation et éventuellement de la majoration","ccam","label","chapterCode","chapterLabel","parentCode","parentLabel","topographie","topographieLabel","action","actionLabel","modeAcces","modeAccesLabel","code","Famille d’acte","familleLabel"
"AAFA0020","AAFA002","exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie","01","système nerveux central, périphérique et autonome","01.02.01.03","exérèse de tissu cérébral","AA","encéphale","F","exciser","A","abord ouvert","002","69","chirurgie du cerveau"
"AAQM0020","AAQM002","échographie transfontanellaire de l'encéphale","01","système nerveux central, périphérique et autonome","01.01.03","échographie du système nerveux","AA","encéphale","Q","guider/enregistrer/examiner/mesurer","M","acte par ultrasons, sans accès","002","102","échographie du système nerveux"
"AAQP0020","AAQP002","électroencéphalographie continue ambulatoire sur 8 dérivations ou plus, pendant au moins 24 heures [Holter EEG]","01","système nerveux central, périphérique et autonome","01.01.01.04","électroencéphalographie [EEG]","AA","encéphale","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","002","105","électroencéphalogramme (EEG)"
"AAQP0060","AAQP006","électroencéphalographie de longue durée de 1 à 4 heures sur 8 dérivation ou plus, avec enregistrement vidéo","01","système nerveux central, périphérique et autonome","01.01.01.04","électroencéphalographie [EEG]","AA","encéphale","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","006","105","électroencéphalogramme (EEG)"
"AAQP0070","AAQP007","électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes sans numérisation et sans enregistrement vidéo","01","système nerveux central, périphérique et autonome","01.01.01.04","électroencéphalographie [EEG]","AA","encéphale","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","007","105","électroencéphalogramme (EEG)"
"AAQP0100","AAQP010","électroencéphalographie de longue durée de plus de 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo","01","système nerveux central, périphérique et autonome","01.01.01.04","électroencéphalographie [EEG]","AA","encéphale","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","010","105","électroencéphalogramme (EEG)"
"ABFA0100","ABFA010","exérèse de tumeur de la faux du cerveau, par craniotomie","01","système nerveux central, périphérique et autonome","01.02.05","exérèse de tumeur intracrânienne extraencéphalique","AB","ventricules, méninges et liquide cérébrospinal intracrâniens","F","exciser","A","abord ouvert","010","69","chirurgie du cerveau"
"ABJA0030","ABJA003","évacuation d'un hématome subdural chronique unilatéral, par craniotomie","01","système nerveux central, périphérique et autonome","01.02.04.06","évacuation de collection intracrânienne extraencéphalique","AB","ventricules, méninges et liquide cérébrospinal intracrâniens","J","drainer/évacuer/nettoyer","A","abord ouvert","003","69","chirurgie du cerveau"
"ACFA0010","ACFA001","exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale unilatérale","01","système nerveux central, périphérique et autonome","01.02.05","exérèse de tumeur intracrânienne extraencéphalique","AC","intracrânien, localisations multiples ou sans précision","F","exciser","A","abord ouvert","001","69","chirurgie du cerveau"
"ACFA0100","ACFA010","exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord infraoccipital rétrosigmoïdien","01","système nerveux central, périphérique et autonome","01.02.05","exérèse de tumeur intracrânienne extraencéphalique","AC","intracrânien, localisations multiples ou sans précision","F","exciser","A","abord ouvert","010","69","chirurgie du cerveau"
"ACFA0130","ACFA013","exérèse de tumeur du tiers interne de l'étage moyen de la base du crâne intéressant l'angle sphénoorbitaire, par craniotomie","01","système nerveux central, périphérique et autonome","01.02.05","exérèse de tumeur intracrânienne extraencéphalique","AC","intracrânien, localisations multiples ou sans précision","F","exciser","A","abord ouvert","013","69","chirurgie du cerveau"
"ACFA0220","ACFA022","exérèse de tumeur de la région optochiasmatique et/ou hypothalamique, par craniotomie","01","système nerveux central, périphérique et autonome","01.02.05","exérèse de tumeur intracrânienne extraencéphalique","AC","intracrânien, localisations multiples ou sans précision","F","exciser","A","abord ouvert","022","69","chirurgie du cerveau"
"ACHA0020","ACHA002","biopsie de lésion intracrânienne, par craniotomie","01","système nerveux central, périphérique et autonome","01.01.11.02","ponction et biopsie du système nerveux","AC","intracrânien, localisations multiples ou sans précision","H","prélever","A","abord ouvert","002","154","ponction et biopsie du système nerveux (cerveau)"
"ACHB0010","ACHB001","biopsie de lésion intracrânienne, par voie transcrânienne stéréotaxique","01","système nerveux central, périphérique et autonome","01.01.11.02","ponction et biopsie du système nerveux","AC","intracrânien, localisations multiples ou sans précision","H","prélever","B","accès transpariétal","001","154","ponction et biopsie du système nerveux (cerveau)"
"ACQH0010","ACQH001","scanographie du crâne et de son contenu, avec injection intrathécale de produit de contraste [Cysternoscanner]","01","système nerveux central, périphérique et autonome","01.01.05","scanographie du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","H","acte par rayons x, avec accès autre qu’abord ouvert","001","187","scanner du crâne, de la face ou du cou"
"ACQH0020","ACQH002","scanographie du crâne, de son contenu et du thorax, avec injection intraveineuse de produit de contraste","01","système nerveux central, périphérique et autonome","01.01.05","scanographie du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","H","acte par rayons x, avec accès autre qu’abord ouvert","002","187","scanner du crâne, de la face ou du cou"
"ACQH0030","ACQH003","scanographie du crâne et de son contenu, avec injection intraveineuse de produit de contraste","01","système nerveux central, périphérique et autonome","01.01.05","scanographie du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","H","acte par rayons x, avec accès autre qu’abord ouvert","003","187","scanner du crâne, de la face ou du cou"
"ACQH0040","ACQH004","scanographie du crâne, de son contenu et du tronc, avec injection intraveineuse de produit de contraste","01","système nerveux central, périphérique et autonome","01.01.05","scanographie du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","H","acte par rayons x, avec accès autre qu’abord ouvert","004","187","scanner du crâne, de la face ou du cou"
"ACQJ0010","ACQJ001","remnographie [IRM] du crâne et de son contenu avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion, avec remnographie des vaisseaux [angio-IRM] cervicocéphaliques","01","système nerveux central, périphérique et autonome","01.01.06","remnographie [IRM] du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","J","acte par ultrasons ou remnographie avec accès autre qu’abord ouvert","001","142","IRM du crâne, de la face ou du cou"
"ACQJ0020","ACQJ002","remnographie [IRM] du crâne et de son contenu, avec injection intraveineuse de produit de contraste","01","système nerveux central, périphérique et autonome","01.01.06","remnographie [IRM] du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","J","acte par ultrasons ou remnographie avec accès autre qu’abord ouvert","002","142","IRM du crâne, de la face ou du cou"
"ACQK0010","ACQK001","scanographie du crâne et de son contenu, sans injection de produit de contraste","01","système nerveux central, périphérique et autonome","01.01.05","scanographie du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","K","acte par rayons x, sans accès","001","187","scanner du crâne, de la face ou du cou"
"ACQK0030","ACQK003","scanographie du crâne et de son contenu et/ou du massif facial pour repérage stéréotaxique","01","système nerveux central, périphérique et autonome","01.01.05","scanographie du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","K","acte par rayons x, sans accès","003","187","scanner du crâne, de la face ou du cou"
"ACQL0010","ACQL001","tomoscintigraphie cérébrale à l'aide de marqueur de la neurotransmission et/ou du métabolisme","01","système nerveux central, périphérique et autonome","01.01.08","scintigraphie du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","L","acte par agent ionisant","001","189","scintigraphie - hors coeur, thyroïde, poumon et os"
"ACQL0070","ACQL007","tomoscintigraphie de perfusion cérébrale sans test d'activation","01","système nerveux central, périphérique et autonome","01.01.08","scintigraphie du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","L","acte par agent ionisant","007","189","scintigraphie - hors coeur, thyroïde, poumon et os"
"ACQN0010","ACQN001","remnographie [IRM] du crâne et de son contenu, sans injection intraveineuse de produit de contraste","01","système nerveux central, périphérique et autonome","01.01.06","remnographie [IRM] du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","N","acte par remnographie sans accès","001","142","IRM du crâne, de la face ou du cou"
"ACQN0020","ACQN002","remnographie [IRM] du crâne et de son contenu et/ou du massif facial pour planification dosimétrique","01","système nerveux central, périphérique et autonome","01.01.06","remnographie [IRM] du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","N","acte par remnographie sans accès","002","142","IRM du crâne, de la face ou du cou"
"ACQN0040","ACQN004","remnographie [IRM] du crâne et de son contenu, avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion","01","système nerveux central, périphérique et autonome","01.01.06","remnographie [IRM] du système nerveux","AC","intracrânien, localisations multiples ou sans précision","Q","guider/enregistrer/examiner/mesurer","N","acte par remnographie sans accès","004","142","IRM du crâne, de la face ou du cou"
"AEQH0010","AEQH001","myélographie dorsale et/ou lombale","01","système nerveux central, périphérique et autonome","01.01.04","radiographie du système nerveux","AE","moelle épinière","Q","guider/enregistrer/examiner/mesurer","H","acte par rayons x, avec accès autre qu’abord ouvert","001","174","radiographie osseuse et articulaire de la colonne vertébrale et radiographie de la moelle épinière"
"AEQM0010","AEQM001","échographie transcutanée de la moelle épinière","01","système nerveux central, périphérique et autonome","01.01.03","échographie du système nerveux","AE","moelle épinière","Q","guider/enregistrer/examiner/mesurer","M","acte par ultrasons, sans accès","001","102","échographie du système nerveux"
"AFLB0060","AFLB006","injection thérapeutique intrathécale d'agent pharmacologique, par voie transcutanée sans guidage","01","système nerveux central, périphérique et autonome","01.03.02.02","injection épidurale et intrathécale spinale","AF","canal de l'épendyme, méninges et liquide cérébrospinal rachidiens","L","appliquer/implanter/injecter","B","accès transpariétal","006","136","injection de médicament en péridural pour exploration ou traitement de la douleur"
"AFLB0070","AFLB007","injection thérapeutique péridurale [épidurale] d'agent pharmacologique, sans guidage","01","système nerveux central, périphérique et autonome","01.03.02.02","injection épidurale et intrathécale spinale","AF","canal de l'épendyme, méninges et liquide cérébrospinal rachidiens","L","appliquer/implanter/injecter","B","accès transpariétal","007","136","injection de médicament en péridural pour exploration ou traitement de la douleur"
"AFLB0170","AFLB017","administration péridurale [épidurale] d'agent pharmacologique au long cours","01","système nerveux central, périphérique et autonome","01.03.02.02","injection épidurale et intrathécale spinale","AF","canal de l'épendyme, méninges et liquide cérébrospinal rachidiens","L","appliquer/implanter/injecter","B","accès transpariétal","017","136","injection de médicament en péridural pour exploration ou traitement de la douleur"
"AFLH0010","AFLH001","injection thérapeutique péridurale [épidurale] d'agent pharmacologique, par voie transcutanée avec guidage radiologique","01","système nerveux central, périphérique et autonome","01.03.02.02","injection épidurale et intrathécale spinale","AF","canal de l'épendyme, méninges et liquide cérébrospinal rachidiens","L","appliquer/implanter/injecter","H","acte par rayons x, avec accès autre qu’abord ouvert","001","136","injection de médicament en péridural pour exploration ou traitement de la douleur"
"AFLH0020","AFLH002","injection thérapeutique intrathécale d'agent pharmacologique, par voie transcutanée avec guidage radiologique","01","système nerveux central, périphérique et autonome","01.03.02.02","injection épidurale et intrathécale spinale","AF","canal de l'épendyme, méninges et liquide cérébrospinal rachidiens","L","appliquer/implanter/injecter","H","acte par rayons x, avec accès autre qu’abord ouvert","002","136","injection de médicament en péridural pour exploration ou traitement de la douleur"
"AFQH0010","AFQH001","saccoradiculographie avec scanographie de la colonne vertébrale","01","système nerveux central, périphérique et autonome","01.01.04","radiographie du système nerveux","AF","canal de l'épendyme, méninges et liquide cérébrospinal rachidiens","Q","guider/enregistrer/examiner/mesurer","H","acte par rayons x, avec accès autre qu’abord ouvert","001","174","radiographie osseuse et articulaire de la colonne vertébrale et radiographie de la moelle épinière"
"AFQH0020","AFQH002","saccoradiculographie","01","système nerveux central, périphérique et autonome","01.01.04","radiographie du système nerveux","AF","canal de l'épendyme, méninges et liquide cérébrospinal rachidiens","Q","guider/enregistrer/examiner/mesurer","H","acte par rayons x, avec accès autre qu’abord ouvert","002","174","radiographie osseuse et articulaire de la colonne vertébrale et radiographie de la moelle épinière"
"AGLB0010","AGLB001","injection péridurale [épidurale] d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique","01","système nerveux central, périphérique et autonome","01.01.12.01","injection au niveau du système nerveux central à visée diagnostique","AG","système nerveux central, sans précision","L","appliquer/implanter/injecter","B","accès transpariétal","001","136","injection de médicament en péridural pour exploration ou traitement de la douleur"
"AHLB0020","AHLB002","infiltration thérapeutique de nerf superficiel d'un membre, avec stimulodétection électrique","01","système nerveux central, périphérique et autonome","01.05.07.04","infiltration thérapeutique de nerf des membres","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","B","accès transpariétal","002","134","infiltration de médicament de nerf des membres"
"AHLB0030","AHLB003","infiltration thérapeutique unilatérale ou bilatérale du nerf grand occipital [grand nerf occipital d'Arnold]","01","système nerveux central, périphérique et autonome","01.05.02.01","infiltration thérapeutique et destruction de nerf du cou par voie transcutanée","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","B","accès transpariétal","003","133","infiltration de médicament autour de nerf de colonne vertébrale pour traitement de la douleur"
"AHLB0050","AHLB005","infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, sans guidage","01","système nerveux central, périphérique et autonome","01.01.12.03","infiltration de nerf spinal [rachidien] à visée diagnostique","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","B","accès transpariétal","005","132","infiltration de médicament anesthésique des nerfs de la colonne vertébrale et des troncs nerveux pour exploration de la douleur"
"AHLB0060","AHLB006","infiltration thérapeutique du nerf médian dans le canal carpien","01","système nerveux central, périphérique et autonome","01.05.04.01","infiltration thérapeutique de nerf du membre supérieur","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","B","accès transpariétal","006","134","infiltration de médicament de nerf des membres"
"AHLB0070","AHLB007","infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, sans stimulodétection électrique","01","système nerveux central, périphérique et autonome","01.01.12.03","infiltration de nerf spinal [rachidien] à visée diagnostique","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","B","accès transpariétal","007","132","infiltration de médicament anesthésique des nerfs de la colonne vertébrale et des troncs nerveux pour exploration de la douleur"
"AHLB0090","AHLB009","bloc anesthésique continu d'un nerf profond d'un membre","01","système nerveux central, périphérique et autonome","01.05.07.04","infiltration thérapeutique de nerf des membres","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","B","accès transpariétal","009","134","infiltration de médicament de nerf des membres"
"AHLB0110","AHLB011","infiltration thérapeutique de nerf spinal à l'émergence rachidienne, sans guidage","01","système nerveux central, périphérique et autonome","01.05.07.01","infiltration thérapeutique de nerf spinal à son émergence rachidienne","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","B","accès transpariétal","011","133","infiltration de médicament autour de nerf de colonne vertébrale pour traitement de la douleur"
"AHLB0120","AHLB012","infiltration thérapeutique de nerf profond d'un membre, sans guidage","01","système nerveux central, périphérique et autonome","01.05.07.04","infiltration thérapeutique de nerf des membres","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","B","accès transpariétal","012","134","infiltration de médicament de nerf des membres"
"AHLB0140","AHLB014","infiltration thérapeutique de nerf superficiel d'un membre, sans stimulodétection électrique","01","système nerveux central, périphérique et autonome","01.05.07.04","infiltration thérapeutique de nerf des membres","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","B","accès transpariétal","014","134","infiltration de médicament de nerf des membres"
"AHLB0170","AHLB017","infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, avec stimulodétection électrique","01","système nerveux central, périphérique et autonome","01.01.12.03","infiltration de nerf spinal [rachidien] à visée diagnostique","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","B","accès transpariétal","017","132","infiltration de médicament anesthésique des nerfs de la colonne vertébrale et des troncs nerveux pour exploration de la douleur"
"AHLH0010","AHLH001","infiltration anesthésique de nerf spinal à son émergence rachidienne avec évaluation diagnostique et pronostique, avec guidage radiologique","01","système nerveux central, périphérique et autonome","01.01.12.03","infiltration de nerf spinal [rachidien] à visée diagnostique","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","H","acte par rayons x, avec accès autre qu’abord ouvert","001","132","infiltration de médicament anesthésique des nerfs de la colonne vertébrale et des troncs nerveux pour exploration de la douleur"
"AHLH0070","AHLH007","infiltration thérapeutique de nerf spinal à l'émergence rachidienne, avec guidage scanographique","01","système nerveux central, périphérique et autonome","01.05.07.01","infiltration thérapeutique de nerf spinal à son émergence rachidienne","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","H","acte par rayons x, avec accès autre qu’abord ouvert","007","133","infiltration de médicament autour de nerf de colonne vertébrale pour traitement de la douleur"
"AHLH0140","AHLH014","infiltration thérapeutique de nerf spinal à l'émergence rachidienne, avec guidage radiologique","01","système nerveux central, périphérique et autonome","01.05.07.01","infiltration thérapeutique de nerf spinal à son émergence rachidienne","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","H","acte par rayons x, avec accès autre qu’abord ouvert","014","133","infiltration de médicament autour de nerf de colonne vertébrale pour traitement de la douleur"
"AHLH0180","AHLH018","infiltration thérapeutique de rameau dorsal de nerf spinal, avec guidage radiologique","01","système nerveux central, périphérique et autonome","01.05.07.01","infiltration thérapeutique de nerf spinal à son émergence rachidienne","AH","nerfs spinaux (y compris la partie intrarachidienne)","L","appliquer/implanter/injecter","H","acte par rayons x, avec accès autre qu’abord ouvert","018","133","infiltration de médicament autour de nerf de colonne vertébrale pour traitement de la douleur"
"AHPA0010","AHPA001","libération de nerf à la cheville et/ou au pied, par abord direct","01","système nerveux central, périphérique et autonome","01.05.06.04","libération du plexus lombosacral et de nerf du membre inférieur","AH","nerfs spinaux (y compris la partie intrarachidienne)","P","couper/libérer/séparer","A","abord ouvert","001","82","décompression chirurgicale de nerf du membre supérieur"
"AHPA0090","AHPA009","libération du nerf médian au canal carpien, par abord direct","01","système nerveux central, périphérique et autonome","01.05.04.04","libération de nerf du membre supérieur","AH","nerfs spinaux (y compris la partie intrarachidienne)","P","couper/libérer/séparer","A","abord ouvert","009","82","décompression chirurgicale de nerf du membre supérieur"
"AHPA0110","AHPA011","libération ou résection d'un nerf digital plantaire, par abord direct","01","système nerveux central, périphérique et autonome","01.05.06.04","libération du plexus lombosacral et de nerf du membre inférieur","AH","nerfs spinaux (y compris la partie intrarachidienne)","P","couper/libérer/séparer","A","abord ouvert","011","82","décompression chirurgicale de nerf du membre supérieur"
"AHPA0170","AHPA017","libération du nerf fémoral [crural], du nerf sciatique et/ou de leurs branches à la racine du membre inférieur ou à la cuisse, par abord direct","01","système nerveux central, périphérique et autonome","01.05.06.04","libération du plexus lombosacral et de nerf du membre inférieur","AH","nerfs spinaux (y compris la partie intrarachidienne)","P","couper/libérer/séparer","A","abord ouvert","017","82","décompression chirurgicale de nerf du membre supérieur"
