source_code,source_name,rank,target_concept_id,target_concept_code,target_concept_name,target_vocabulary_id,similarity
QCJA003,1 hand initial burn surgical dressing,1,42573009,349281000009104,Apply dressing with fixation of skin of forelimb,SNOMED Veterinary,0.6483
QCJA003,1 hand initial burn surgical dressing,2,42573023,349811000009109,Apply dressing with fixation of forelimb,SNOMED Veterinary,0.6372
QCJA003,1 hand initial burn surgical dressing,3,42598822,340311000009109,Removal of dressing of skin of forelimb,SNOMED Veterinary,0.6023
QCJA003,1 hand initial burn surgical dressing,4,42572812,341931000009109,Apply dressing with fixation of foredigit,SNOMED Veterinary,0.5964
QCJA003,1 hand initial burn surgical dressing,5,42599265,349981000009109,Removal of dressing of forelimb,SNOMED Veterinary,0.5844
QCJA004,1 Hand Secondary Burn Surgical Dressing,1,42573009,349281000009104,Apply dressing with fixation of skin of forelimb,SNOMED Veterinary,0.6319
QCJA004,1 Hand Secondary Burn Surgical Dressing,2,42598822,340311000009109,Removal of dressing of skin of forelimb,SNOMED Veterinary,0.6257
QCJA004,1 Hand Secondary Burn Surgical Dressing,3,42573023,349811000009109,Apply dressing with fixation of forelimb,SNOMED Veterinary,0.6231
QCJA004,1 Hand Secondary Burn Surgical Dressing,4,42599265,349981000009109,Removal of dressing of forelimb,SNOMED Veterinary,0.6192
QCJA004,1 Hand Secondary Burn Surgical Dressing,5,4074409,178855006,Reconstruction of hand with distant skin flap,SNOMED,0.6013
AMQP014,"12-24 hour polysomnography, no video recording",1,40756854,95801,"Sleep study, unattended, simultaneous recording; minimum of heart rate, oxygen saturation, and respiratory analysis (eg, by airflow or peripheral arterial tone)",CPT4,0.7966
AMQP014,"12-24 hour polysomnography, no video recording",2,4189015,60554003,Polysomnography,SNOMED,0.7935
AMQP014,"12-24 hour polysomnography, no video recording",3,40757072,95800,"Sleep study, unattended, simultaneous recording; heart rate, oxygen saturation, respiratory analysis (eg, by airflow or peripheral arterial tone), and sleep time",CPT4,0.7877
AMQP014,"12-24 hour polysomnography, no video recording",4,2314096,95806,"Sleep study, unattended, simultaneous recording of, heart rate, oxygen saturation, respiratory airflow, and respiratory effort (eg, thoracoabdominal movement)",CPT4,0.7869
AMQP014,"12-24 hour polysomnography, no video recording",5,2314097,95807,"Sleep study, simultaneous recording of ventilation, respiratory effort, ECG or heart rate, and oxygen saturation, attended by a technologist",CPT4,0.7650
AMQP015,"12-24 hour polysomnography, with video recording",1,4189015,60554003,Polysomnography,SNOMED,0.8146
AMQP015,"12-24 hour polysomnography, with video recording",2,2314097,95807,"Sleep study, simultaneous recording of ventilation, respiratory effort, ECG or heart rate, and oxygen saturation, attended by a technologist",CPT4,0.7844
