code,label
AAFA001,"Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie"
AAFA002,"Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie"
AAFA003,"Exérèse de lésion du tronc cérébral, par craniotomie"
AAFA004,"Hémisphérectomie fonctionnelle, par craniotomie"
AAFA005,"Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie"
AAFA006,"Résection de parenchyme cérébral pour infarctus expansif, par craniotomie"
AAFA007,"Excision d'une zone épileptogène, par craniotomie"
AAFA008,"Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie"
AAGA001,"Ablation d’électrode corticale cérébrale, par craniotomie"
AAGB001,Ablation d'électrode intracérébrale
AAJA001,"Évacuation de collection intracérébrale, par craniotomie"
AAJA002,"Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie"
AAJA003,"Évacuation d'hématome intracérébelleux, par craniotomie"
AAJA004,"Évacuation d'hématome intracérébral non traumatique, par craniotomie"
AAJA005,"Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente"
AAJA006,Parage de plaie craniocérébrale
AAJH001,"Évacuation de collection intracérébrale, par voie transcrânienne avec guidage scanographique"
AAJH002,"Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique"
AAJH003,"Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique"
AAJH004,"Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage radiologique"
AALA001,"Implantation d’électrode de stimulation corticale cérébrale à visée thérapeutique, par craniotomie"
AALA002,"Implantation d'électrode subdurale pour enregistrement électrocorticographique, par craniotomie"
AALA003,Perfusion peropératoire de protection du parenchyme encéphalique
AALB001,"Implantation d'électrode de stimulation intracérébrale à visée thérapeutique, par voie stéréotaxique"
AALB002,"Implantation d'électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique"
AANB001,"Destruction d'une cible intracérébrale à visée fonctionnelle, par voie stéréotaxique"
AANL001,"Irradiation encéphalique en conditions stéréotaxiques avec cadre effractif, en dose unique"
AANL002,"Séance d'irradiation encéphalique en conditions stéréotaxiques avec cadre non effractif, à dose fractionnée"
AAPA001,"Callosotomie fonctionnelle, par craniotomie"
AAPA002,"Isolement d'une zone épileptogène, par craniotomie"
AAQM002,Échographie transfontanellaire de l'encéphale
AAQN001,Spectroscopie par résonance magnétique cérébrale du phosphore
AAQN002,Spectroscopie par résonance magnétique cérébrale protonique localisée
AAQN003,Spectroscopie par résonance magnétique cérébrale protonique [Chemical shift imaging] [CSI]
AAQN004,Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions motrices
AAQN005,Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions visuelles ou phasiques
AAQP001,"Électroencéphalographie avec modélisation de sources, sur au moins 32 dérivations"
AAQP002,"Electroencéphalographie continue ambulatoire sur 8 dérivations ou plus, pendant au moins 24 heures [Holter EEG]"
AAQP003,"Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures"
AAQP004,"Surveillance électroencéphalographique peropératoire sur au moins 8 dérivations, pendant moins de 4 heures"
AAQP005,Surveillance électrocorticographique peropératoire de l'activité encéphalique spontanée et/ou provoquée
AAQP006,"Electroencéphalographie de longue durée de 1 à 4 heures sur 8 dérivation ou plus, avec enregistrement vidéo"
AAQP007,Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes sans numérisation et sans enregistrement vidéo
AAQP008,"Surveillance électroencéphalographique peropératoire sur au moins 8 dérivations, pendant 4 heures ou plus"
AAQP009,Electroencéphalographie avec quantification sur 32 dérivations ou plus
AAQP010,"Electroencéphalographie de longue durée de plus de 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo"
AAQP011,"Electroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, au lit du malade"
AAQP012,"Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures"
AAQP013,"Surveillance électrocorticographique continue avec enregistrement vidéo, par 24 heures"
ABCA001,"Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par craniotomie"
ABCA002,"Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire, par abord direct"
ABCA003,"Dérivation péritonéale d'une collection subdurale du liquide cérébrospinal crânien, par abord direct"
ABCA004,"Dérivation péritonéale ou atriale de kyste intracrânien, par abord direct"
ABCA005,"Ventriculocisternostomie, par craniotomie"
ABCB001,"Dérivation externe du liquide cérébrospinal ventriculaire ou subdural, par voie transcrânienne"
ABCC001,"Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par vidéochirurgie intracrânienne"
ABCC002,"Ventriculocisternostomie, par vidéochirurgie intracrânienne"
ABFA001,"Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, sans rapprochement orbitaire"
ABFA002,"Exérèse de lésion du troisième ventricule, par craniotomie"
ABFA003,Exérèse et/ou fermeture de méningoencéphalocèle de la voûte crânienne
ABFA004,"Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, avec rapprochement orbitaire"
ABFA005,"Exérèse de lésion d'un ventricule latéral cérébral, par craniotomie"
ABFA006,"Exérèse de lésion du quatrième ventricule, par craniotomie"
ABFA007,Exérèse d'une fistule dermique avec prolongement intradural occipital
ABFA008,"Exérèse de tumeur de la tente du cervelet, par craniotomie soustentorielle"
ABFC001,"Exérèse de lésion du troisième ventricule, par vidéochirurgie intracrânienne"
ABFC002,"Exérèse de lésion d'un ventricule latéral cérébral, par vidéochirurgie intracrânienne"
ABGA001,Ablation d'un capteur de pression intracrânienne
ABGA002,"Ablation d'une dérivation interne du liquide cérébrospinal intracrânien, par abord direct"
ABGA003,Ablation d'un système diffuseur implanté et du cathéter intraventriculaire ou intrakystique cérébral
ABGA004,Ablation d'une dérivation externe du liquide cérébrospinal
ABHB001,"Ponction de liquide cérébrospinal ventriculaire, par voie transcrânienne"
ABHB002,"Ponction de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire"
ABJA001,"Évacuation d'une hémorragie intraventriculaire cérébrale, par craniotomie"
ABJA002,"Évacuation d'un hématome subdural aigu, par craniotomie"
ABJA003,"Évacuation d'un hématome subdural chronique unilatéral, par craniotomie"
ABJA004,"Évacuation d'un hématome extradural infratentoriel, par craniotomie"
ABJA005,"Évacuation d'un hématome extradural supratentoriel, par craniotomie"
ABJA006,"Évacuation d'un hématome subdural chronique bilatéral, par craniotomie"
ABJA007,"Évacuation d'un hématome extradural plurifocal supratentoriel et/ou infratentoriel, par craniotomie"
ABJA008,"Évacuation d'un empyème intracrânien extracérébral, par craniotomie"
ABJB001,"Évacuation de liquide cérébrospinal ventriculaire avec injection à visée thérapeutique, par voie transcrânienne"
ABJB002,"Évacuation de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire"
ABLB001,"Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques"
ABLB002,"Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne"
ABLB003,"Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne"
ABLB004,"Pose d'un cathéter intraventriculaire ou intrakystique cérébral pour injection d'agent pharmacologique, par voie transcrânienne"
ABLF003,"Séance d'administration intraventriculaire ou intrakystique cérébrale d'agent pharmacologique anticancéreux, par un dispositif implanté"
ABLF004,"Administration intraventriculaire ou intrakystique cérébrale d'agent pharmacologique au long cours par un dispositif implanté, par 24 heures"
ABMA001,Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal
ABML001,Vérification radio-isotopique d'une dérivation du liquide cérébrospinal
ABMP001,Contrôle et/ou réglage secondaire transcutané d'une valve de dérivation de liquide cérébrospinal à pression d'ouverture réglable
